canonical_name,variants,reasoning
Spinach And Eggs,['Spinach And Eggs'],Individual item (form factor split)
Spinach And Tomato Frittata,['Spinach And Tomato Frittata'],Individual item (form factor split)
Spinach Artichoke Dip,['Spinach Artichoke Dip'],Individual item (form factor split)
Spinach Salad,['Spinach Salad'],Individual item (form factor split)
"Spinach, Artichoke, Tomato Frittata","['Spinach, Artichoke, Tomato Frittata']",Individual item (form factor split)
Spring Salmon,"['Spring Salmon, Corn, & Tomato Salad']",
Springtime Burrito,['Springtime Burrito'],Individual item (form factor split)
Sriracha,['Sriracha'],Individual item (form factor split)
St Patrick'S,"[""St Patrick'S""]",Individual item (was in misc group)
Steak,"['Filet & Taters', 'Filet Mignon', 'Flank Steak Bao', 'Flank Steak Dinner', 'Flank Steak Dinner With Miso Mushroom Compound Butter', 'Pepper Steak', 'Prime Rib', 'Prime Rib Potato Croquette', 'Prime Rib Taco', 'Ribeye Steak', 'Ribeye Tostado', 'Ribeye, English Muffin, Poached Egg', 'Side Steak', 'Steak & Potatoes', 'Steak & Taters', 'Steak Fries & Zhoug', 'Steak Fries W/ Zhoug', 'Steak N Eggs', 'Steak Poutine And Eggs', 'Steak Taco', 'Tenderloin Tips', 'Steak Fajitas', 'Steak Fries W Zhoug', 'Steak Fries Zhoug']",Steak variants.
Steak And Eggs,"['Grit Cake & Steak', 'Prime Rib & Egg', 'Steak & Egg', 'Steak & Eggs', 'Steak And Eggs', 'Steak Egg']","Same item, And removed."
Steamed Egg,['Steamed Egg'],Individual item (form factor split)
Stir Fry,['Stir Fry'],Individual item (form factor split)
Stir Fry Veggies,"['Kung Pao Stirfry Veggies', 'Stir Fry Veggies', 'Stirfry Veggies']","Same item, space vs no space."
Strawberries,['Strawberries'],Individual item (form factor split)
Strawberries Cream,"['Hot Peaches & Cream', 'Peaches & Cream', 'Poached Peaches & Cream', 'Strawberries & Cream', 'Peaches Cream']",Individual item (form factor split)
Strawberry Meringue,['Strawberry Meringue'],Individual item (form factor split)
Strawberry Muffin,"['Strawberry Muffin', 'Muffin']",Individual item (form factor split)
Strawberry Romaine,['Strawberry Romaine'],Individual item (form factor split)
Strawberry Scone,['Strawberry Scone'],Individual item (form factor split)
Street Corn,['Street Corn'],Individual item (form factor split)
Stuffed Bell Pepper,['Stuffed Bell Pepper'],Individual item (form factor split)
Summer Roll Special,['Summer Roll Special'],Individual item (form factor split)
Summer Rolls,['Summer Rolls'],Individual item (form factor split)
Summer Salad,['Summer Salad'],Individual item (form factor split)
Summertime Succotash,['Summertime Succotash'],Individual item (form factor split)
Sunflower Pesto Pasta,['Sunflower Pesto Pasta'],Individual item (form factor split)
Super Margherita Pizza,"['Super Margherita', 'Super Margherita Pizza', 'Super Marherita']","Same pizza, spelling/naming variants"
Surf & Turf,['Surf & Turf'],
Sweet & Sour,['Sweet & Sour'],
Sweet Ass,['Sweet Ass'],Individual item (was in misc group)
Sweet Peas Bronze Fennel,['Sweet Peas & Bronze Fennel'],Individual item (form factor split)
Sweet Peas Tendrils Salad,['Sweet Peas & Tendrils Salad'],Individual item (form factor split)
Sweet Potato Tostada,['Sweet Potato Tostada'],"Same dish, a/o spelling variant"
Szechuan,"['Kung Pao Chickpeas', ""Robby'S Kung Pao Pie"", ""Robby'S Kung Pao Pizza"", 'Side Veg (Kung Pao)', 'Szechuan Bok Choy', 'Szechuan Chinese Vegetables', 'Szechuan Snow Peas', 'Szechuan Yu Choy']",Split from mixed-category Szechuan - neutral items
Szechuan Chicken Salad,"['Szechuan Chicken Salad', 'Szechuan Chicken Salad Salad']","Same salad, duplicate word removed."
Tabbouleh,['Tabbouleh'],Individual item (form factor split)
Taco,"['Bacon & Eggs Taco', 'Bbq Tri Tip Taco', 'Black Bean Tostada', 'Boston Butt & Apple Slaw Taco', 'C Town Cauliflower Taco', 'Cauliflower Taco', 'Cauliflower Tacos (3)', 'Coco Curry Taco', 'Hoisin Boston Butt Taco', 'Hoisin Duck Taco (1)', 'Hong Shao Rou Taco', 'Just Taco', 'Kung Pao Taco', 'Pickled Herring Taco', 'Pot Roast Taco', 'Short Rib Taco', 'Short Rib Tacos', 'Short Rib Tacos (3)', 'Short Rib Tacos Dinner (3)', 'Smoked Sturgeon Taco', 'Special Taco', 'Special Taco #1', 'Special Taco #2', 'Tacos', 'Thit Kho Taco', 'Verde Tacos', 'Watermelon Radish Tacos', 'Special Taco 1']",Split from mixed-category Taco - neutral items
Taco Kits,['Taco Kits'],Individual item (form factor split)
Tahini Noodles,"['Tahini Noodles', 'Thaini Noodles']","Same noodle dish, typo variant"
Tex Mex Frittata,['Tex Mex Frittata'],Individual item (form factor split)
Thai Wheat Cup,['Thai Wheat Cup'],Individual item (was in misc group)
Thank You For Being A Friend,['Thank You For Being A Friend'],Individual item (was in misc group)
The Bohemian Bear,['The Bohemian Bear'],Individual item (was in misc group)
The Courtney Canady,['The Courtney Canady'],Individual item (was in misc group)
The Kimmy,['The Kimmy'],Individual item (was in misc group)
The Palleson,['The Palleson'],Individual item (was in misc group)
The Red Bag,['The Red Bag'],Individual item (was in misc group)
The Schwarz,['The Schwarz'],Individual item (was in misc group)
Tiramisu,"['Tiramisu', 'Yum Cha Tiramasu']",Tiramisu variants.
Toaster Strudel,['Toaster Strudel'],Individual item (form factor split)
Tofu,"['C-Town Fried Tofu Sandwich', 'Fried Tofu Bowl', 'Fried Tofu Jook', 'Fried Tofu Mushroom', 'Fried Tofu Salad', 'Fried Tofu Salad Lunch', 'Fried Tofu Taco', ""General Tsao'S Fried Tofu"", 'Mapo Tofu', 'Mapo Tofu Pizza', 'Side Fried Tofu', 'Soft Tofu Avocado Taco', 'Soft Tofu Avocado Tostado', 'Tofu Egg Roll', 'Tofu Sticks']",Tofu variants.
Tostada,"['Black Bean & Charred Corn Tostada', 'Black Bean & Sunny Egg Tostada', 'Black Bean Tostada', 'Breakfast Tostado', 'Brunch Tostada', 'Butternut Squash Tostado', 'Guacamole Potato Tostado', 'Hoison Mushroom Tostado', 'Ribeye Tostado', 'Roasted Mushroom & Corn Tostada', 'Soft Tofu Avocado Tostado', 'Sweet Potato Tostado', 'Thit Bacon Tostado', 'Tostada', 'Tostado', 'Black Bean Sunny Egg Tostada']","Same dish, a/o variant"
Tres Leches,['Tres Leches'],Individual item (form factor split)
Tres Leches For 2,['Tres Leches For 2'],Individual item (form factor split)
Trout,"['Mahi & Salmon Croquette', 'Nc Trout', 'Nc Trout & Asparagus Puree', 'North Carolina Trout Salad', 'North Carolina Trout Special', 'Pan Seared Trout', 'Roasted Trout Belly Charred Caesar', 'Smoked Trout', 'Smoked Trout Endive Salad', 'Smoked Trout English Muffin', 'Steelhead Trout Crudo', 'Steelhead Trout Filet', 'Trout Sashimi']",Trout variants.
Ukiyo,['Ukiyo'],Individual item (was in misc group)
Unearthing Farm Salad,['Unearthing Farm Salad'],Individual item (form factor split)
Valentines Dinner,['Valentines Dinner'],Individual item (was in misc group)
Valentines Vegetarian,['Valentines Vegetarian'],Individual item (was in misc group)
Vegan Chicken,"[""General Tsao'S Fried Tofu""]",Split from mixed-category Chicken - vegan items
Vegan Egg Roll,['Tofu Egg Roll'],Split from mixed-category Egg Roll - vegan items
Vegan Jook,['Fried Tofu Jook'],Split from mixed-category Jook - vegan items
Vegan Kids,"['(K) Veggie Stacks', ""Kid'S Veggies And Rice"", 'Kids Meal', '(K) Veggie Rice']",Split from mixed-category Kids - vegan items
Vegan Mushroom,['Fried Tofu Mushroom'],Split from mixed-category Mushroom - vegan items
Vegan Pizza,['Mapo Tofu Pizza'],Split from mixed-category Pizza - vegan items
Vegan Salad,"['Fried Tofu Salad', 'Fried Tofu Salad Lunch']",Split from mixed-category Salad - vegan items
Vegan Scramble,"['Vegan Soft Tofu Scramble', 'Veggie Scramble Of The Day']",Split from mixed-category Scramble - vegan items
Vegan Sides,"['Seasonal Veggies', 'Veggie Medley', 'Veggie Plate (Seasonals)']",Split from mixed-category Sides - vegan items
Vegan Soup,['Vegan Soup'],Split from mixed-category Soup - vegan items
Vegan Szechuan,"['Kung Pao Stirfry Veggies', 'Kung Pao Veggies']",Split from mixed-category Szechuan - vegan items
Vegan Taco,['Fried Tofu Taco'],Split from mixed-category Taco - vegan items
Vegan Tostada,['Soft Tofu Avocado Tostado'],Split from mixed-category Tostada - vegan items
Vegan Wonton,['Cream Cheese Wonton Vegetarian'],Split from mixed-category Wonton - vegan items
Veggie Sides,"['Veggie & Fried Potato Hash', 'Carrot Asparagus W Tiger Sauce', 'Fried Plantains Gado Gado Sauce', 'Roasted Asparagus Mushrooms', 'Roasted Vidalia Onion Peas']",
Vidalia Bulb,['Vidalia Bulb'],Individual item (form factor split)
Vidalia Onion Egg,['Vidalia Onion Egg'],Individual item (form factor split)
Vietnamese Pork,"['Family Thit Heo Kho Trung', 'Thit Bacon Taco', 'Thit Bacon Tostado', 'Thit Heo Kho Trung', 'Thit Kho', 'Thit Kho And Rice', 'Thit Kho Bao', 'Thit Kho Taco', 'Vietnamese Ground Pork Sammy', 'Vietnamese Pork Bowl', 'Vietnamese Pork Bowl (Vegan Version Available)', 'Vietnamese Pork Breakfast Nachos', 'Vietnamese Pork Crispy Noodles', 'Vietnamese Pork Fried Rice Brunch', 'Vietnamese Pork Jook', 'Vietnamese Pork Meatball', 'Vietnamese Pork Pizza', 'Vietnamese Pork Quesadilla', 'Vietnamese Pork Taco', 'Vietnamese Pork Tacos', 'Twice Baked Viet Pork', 'Twice Baked Vietnamese Sausage']",Vietnamese pork variants.
Vietnamese Pork Egg Roll,['Vietnamese Pork Egg Roll'],"Same egg roll, quantity variant"
Waffle,"['Fried Chicken Waffle', 'Guava Queso Waffle', 'Waffle-Wich', 'Waffle']",Waffle variants.
Wasabi Popcorn,['Wasabi Popcorn'],Individual item (form factor split)
Wellington (M),['Wellington (M)'],Individual item (was in misc group)
Wellington Special,['Wellington Special'],Individual item (was in misc group)
Wings,"['Buffalo Wings', 'C-Town Spicy Wings', 'Chinese Lemon Pepper Wet Wings', 'Chomp Wings', 'Doubanjiang Wings', 'Gunsmoke Wings', 'Gunsmoke Wings With Spicy Peanuts', 'Happy Hour Asian Wings', 'Happy Hour C-Town Wings', 'Happy Hour Lemon Pepper Wet Wings', 'Honey Sriracha Moos', 'Milltown C-Town Spicy Wings', 'Milltown Crispy Asian Wings', 'Papa Chan Wings', 'Preserved Meyer Lemon Szechuan Pepper Wet Wings', 'Special Viet Sticky Wings', 'Special Wings', 'Wings', 'Wings (Crispy Asian Or Buffalo)', 'Wings Hh', 'Yum Cha Crispy Wings', 'Yum Cha Wings']",Wing variants.
Wwjcd,['Wwjcd'],Individual item (was in misc group)
Yogurt,"['Goat Yogurt', 'Parfait', 'Yogurt', 'Yogurt Parfait']",Yogurt items
Yonshakudama,['Yonshakudama'],Individual item (was in misc group)
Yook Baeng,['Yook Baeng'],Individual item (form factor split)
Yook Baeng Bites,['Yook Baeng Bites'],Individual item (form factor split)
Youtiao,['Youtiao'],Individual item (form factor split)
Yum Cha Dumplings,['Yum Cha Dumplings'],"Same item, word order reversed."
Yurei,['Yurei'],"Same item, typo variant (extra i)"
Yuzu Custard,['Yuzu Custard'],Individual item (form factor split)
Zestos,['Zestos'],Individual item (was in misc group)
Zhug,['Zhug'],Individual item (form factor split)
catering_takeout,"['$12 Passed', '$16 Passed', '$21 Passed', '$5 Passed', '$6 Passed', '$7 Passed', '$9 Passed', 'Anniversary Dinner', 'Atl Chili Week', 'Be Mine Appetizer', 'Be Mine Dessert', 'Be Mine Entree', 'Bingo', 'Catering', 'Catering For 18', 'Crawl-O-Ween', 'Daycation', 'Family Meal', 'Family Suppers', 'Happy Hour Special', 'Inman Park Festival', 'June 7 Catering', 'June 8 Catering', 'Lunch Specials', 'Nye Dinner', 'Nye Dinner Allergy Or Special', 'Special: Chanterelle & Porcini Cream Pasta', 'Special: Fish & Chips', 'Special: Flowering Chives & Cippolinis', 'Special: Pei Mussels With Pomodoro White Wine And Basil', 'Special: Scallops With Pomdoro, Pesto, And Basil', 'Special: Scallops With Pomodoro & Pesto', 'Special: Scallops With Pomodoro And Pesto', 'Special: Scallops With Thai Peanut Sauce', 'Summer Seafood Specials', 'Summer Solstice Specials', 'Supper For 2', 'Taco Tuesday', 'Tasting Menu', 'Valentines Dinner', 'Valentines Vegetarian']",Catering and takeout items
to_remove,"['(M) Baseball Tee', '(M) Employee Baseball Tee', '(M) Hats', '(M) Hoodie', '(M) Pride T-Shirt', '(M) T-Shirt', '11/26 Deposit', '75Th Conniption Fit', 'Albacea Monastrell', 'Arches Of The Moment', 'Asw Fiddler', 'Atlanta Hartsfield', 'B - Monday Night', 'B - Wild Leap', 'B- New Realm', 'Best Damn Coffee Cake', 'Boulevard Drive', 'Cafe Cabalero', 'Cafe Caballero', 'Cake Cutting Fee', 'Casas Del Bosque', 'Casas Del Bosque Carmenere', 'Casas Del Carmenere', 'Cavalry Glass', 'Chinese New Year Deposit (9 Top)', 'Chocolate & Coffee Entremet', 'Coffee Cake', 'Copperhead Cup', 'Custom Amount', 'Cuvee Bastien', 'Delaforce Duoro', 'Delivery', 'Delivery / Drop', 'Delivery Fee', 'Deposit', 'Deposit October 20 6Pm', 'Domaine De Chateaumar Bastien', 'Driopi Nemea', 'Egift Card', 'Employee Baseball Tee', 'Employee Hat', 'Employee Pride T-Shirt', 'Employee Tshirt', 'Event App', 'February 7 Deposit', 'Flat Shoals', 'Forty Creek', 'Fundraiser', 'Gay Card', 'Gift Card', 'Gift Card Reload', 'Glencadam', 'Gratuity', 'Honoro Monastrell', 'Ki-We', 'Kim Marie', 'Labor', 'Les Promesses', 'Luna Granache', 'Mexican Empire', 'Moda Foca Monastrell', 'Monday Night', 'New Realm', ""Otto'S Cbd"", 'Staff', 'What The Duck Pizza', 'Wild Leap', 'Yureii', 'Apple Juice', 'Bottled Water', 'Cappuccino', 'Coffee', 'Draft Beer', 'Espresso', 'Fountain Drink', 'Hot Chocolate', 'Hot Tea', 'House Wine', 'Iced Coffee', 'Iced Tea', 'Juice', 'Kids Drink', 'Latte', 'Lemonade', 'Milkshake', 'Mocha', 'Orange Juice', 'Smoothie', 'Soda', 'Sweet Tea', 'Catering Combo', 'Gift Certificate', 'Open Food', 'Other', 'Chocolate Coffee Entremet', 'Peaches Cream']",
Candy,['Candy'],
Cheesecake,['Cheesecake'],
Hot Dog,['Hot Dog'],
Oatmeal,['Oatmeal'],
